"","X","WATERBODY_CODE","LATITUDE","LONGITUDE","SPECIES_NAME","name","SAMPLE_DATE","YEAR","Netting_Start_Date","Netting_End_Date","Len2mm","Total_Length","WEIGHT","Round_Weight","SexID","Sex_ID","VALUE","Aging_Structure","Assessed_Fish_Age","Assessed_Age_Confidence","Waterbody_LID","ON_Hg_BSM_years_ID","qryContaminant_link_fish_age_date_tissue_ID","Tissues_Sampled","Contaminant_Samples_Taken","FN3_individual_fish_id","LAT","LON","LatZones","fYEAR"
"54",54,44277816,442727,781531,"Smallmouth Bass","Smallmouth Bass","2009-06-18",2009,"2009-06-18","2009-06-19",335,335,500,500,2,2,0.27,"Scales (left side)",7,6,"17-7182-49263",956,29065,"1","Yes",205063,44.4575,78.25861111,"South","2009"
"55",55,44277816,442727,781531,"Smallmouth Bass","Smallmouth Bass","2009-06-18",2009,"2009-06-18","2009-06-19",403,403,825,825,1,1,0.24,"Scales (left side)",8,6,"17-7182-49263",959,29066,"1","Yes",205117,44.4575,78.25861111,"South","2009"
"56",56,44277816,442727,781531,"Smallmouth Bass","Smallmouth Bass","2009-06-18",2009,"2009-06-17","2009-06-18",386,386,750,750,2,2,0.25,"Scales (left side)",7,7,"17-7182-49263",952,29068,"1","Yes",205130,44.4575,78.25861111,"South","2009"
"57",57,44277816,442727,781531,"Smallmouth Bass","Smallmouth Bass","2009-06-18",2009,"2009-06-17","2009-06-18",462,462,1450,1450,2,2,0.41,"Scales (left side)",11,5,"17-7182-49263",953,29067,"1","Yes",205064,44.4575,78.25861111,"South","2009"
"58",58,44277816,442727,781531,"Smallmouth Bass","Smallmouth Bass","2009-06-18",2009,"2009-06-17","2009-06-18",429,429,1200,1200,2,2,0.28,"Scales (left side)",7,5,"17-7182-49263",954,29070,"1","Yes",205068,44.4575,78.25861111,"South","2009"
"59",59,44277816,442727,781531,"Walleye","Walleye","2009-06-18",2009,"2009-06-17","2009-06-18",409,409,600,600,2,2,0.27,"Dorsal Spine",4,8,"17-7182-49263",955,29075,"1","Yes",489584,44.4575,78.25861111,"South","2009"
"60",60,44277816,442727,781531,"Walleye","Walleye","2009-06-18",2009,"2009-06-17","2009-06-18",584,584,1900,1900,2,2,0.48,"Otolith",11,8,"17-7182-49263",957,29069,"1","Yes",205067,44.4575,78.25861111,"South","2009"
"61",61,44277816,442727,781531,"Walleye","Walleye","2009-06-18",2009,"2009-06-17","2009-06-18",455,455,950,950,2,2,0.2,"Otolith",4,8,"17-7182-49263",958,29071,"1","Yes",205232,44.4575,78.25861111,"South","2009"
"62",62,44277816,442727,781531,"Smallmouth Bass","Smallmouth Bass","2009-06-19",2009,"2009-06-18","2009-06-19",505,505,2000,2000,2,2,0.64,"Scales (left side)",16,5,"17-7182-49263",960,29064,"1","Yes",205062,44.4575,78.25861111,"South","2009"
"63",63,44277830,442815,782941,"Walleye","Walleye","2009-07-10",2009,"2009-07-09","2009-07-10",359,359,425,425,2,2,0.19,"Scales (left side)",4,7,"17-6992-49270",984,29105,"1","Yes",232684,44.47083333,78.49472222,"South","2009"
"64",64,44277830,442815,782941,"Walleye","Walleye","2009-07-10",2009,"2009-07-09","2009-07-10",306,306,225,225,2,2,0.15,"Scales (left side)",4,7,"17-6992-49270",985,29106,"1","Yes",232300,44.47083333,78.49472222,"South","2009"
"65",65,44277830,442815,782941,"Smallmouth Bass","Smallmouth Bass","2009-07-10",2009,"2009-07-09","2009-07-10",470,470,1590,1590,2,2,0.42,"Scales (left side)",10,5,"17-6992-49270",986,29107,"1","Yes",232302,44.47083333,78.49472222,"South","2009"
"66",66,44277830,442815,782941,"Walleye","Walleye","2009-07-10",2009,"2009-07-09","2009-07-10",628,628,2200,2200,2,2,0.58,"Otolith",12,8,"17-6992-49270",987,29108,"1","Yes",232305,44.47083333,78.49472222,"South","2009"
"67",67,44277830,442815,782941,"Walleye","Walleye","2009-07-15",2009,"2009-07-14","2009-07-15",599,599,2100,2100,2,2,0.61,"Scales (left side)",9,5,"17-6992-49270",988,29102,"1","Yes",232614,44.47083333,78.49472222,"South","2009"
"68",68,44277830,442815,782941,"Walleye","Walleye","2009-07-15",2009,"2009-07-14","2009-07-15",504,504,1100,1100,2,2,0.47,"Otolith",7,9,"17-6992-49270",989,29100,"1","Yes",232298,44.47083333,78.49472222,"South","2009"
"69",69,44277830,442815,782941,"Walleye","Walleye","2009-07-15",2009,"2009-07-14","2009-07-15",364,364,390,390,1,1,0.19,"Otolith",8,9,"17-6992-49270",990,29103,"1","Yes",232615,44.47083333,78.49472222,"South","2009"
"70",70,44277830,442815,782941,"Walleye","Walleye","2009-07-15",2009,"2009-07-14","2009-07-15",331,331,300,300,2,2,0.17,"Scales (left side)",5,7,"17-6992-49270",991,29099,"1","Yes",232514,44.47083333,78.49472222,"South","2009"
"71",71,44277830,442815,782941,"Walleye","Walleye","2009-07-15",2009,"2009-07-14","2009-07-15",326,326,250,250,1,1,0.11,"Scales (left side)",3,7,"17-6992-49270",992,29101,"1","Yes",232552,44.47083333,78.49472222,"South","2009"
"72",72,44277830,442815,782941,"Walleye","Walleye","2009-07-16",2009,"2009-07-15","2009-07-16",398,398,600,600,2,2,0.22,"Scales (left side)",3,7,"17-6992-49270",993,29098,"1","Yes",232297,44.47083333,78.49472222,"South","2009"
"73",73,44277830,442815,782941,"Walleye","Walleye","2009-07-17",2009,"2009-07-16","2009-07-17",317,317,260,260,1,1,0.16,"Scales (left side)",4,6,"17-6992-49270",994,29097,"1","Yes",232294,44.47083333,78.49472222,"South","2009"
"74",74,44277830,442815,782941,"Walleye","Walleye","2009-07-17",2009,"2009-07-16","2009-07-17",322,322,290,290,2,2,0.18,"Scales (left side)",4,6,"17-6992-49270",995,29096,"1","Yes",232410,44.47083333,78.49472222,"South","2009"
"75",75,44277830,442815,782941,"Smallmouth Bass","Smallmouth Bass","2009-08-18",2009,"2009-08-17","2009-08-18",388,388,800,800,1,1,0.37,"Scales (left side)",10,7,"17-6992-49270",996,29092,"1","Yes",232306,44.47083333,78.49472222,"South","2009"
"76",76,44277830,442815,782941,"Smallmouth Bass","Smallmouth Bass","2009-08-18",2009,"2009-08-17","2009-08-18",274,274,200,200,2,2,0.37,"Scales (left side)",7,3,"17-6992-49270",997,29109,"1","Yes",232814,44.47083333,78.49472222,"South","2009"
"77",77,44277830,442815,782941,"Walleye","Walleye","2009-08-18",2009,"2009-08-17","2009-08-18",475,475,800,800,2,2,0.23,"Otolith",7,9,"17-6992-49270",998,29095,"1","Yes",232309,44.47083333,78.49472222,"South","2009"
"78",78,44277830,442815,782941,"Walleye","Walleye","2009-08-18",2009,"2009-08-17","2009-08-18",435,435,636,636,2,2,0.23,"Otolith",6,9,"17-6992-49270",999,29094,"1","Yes",232308,44.47083333,78.49472222,"South","2009"
"79",79,44277830,442815,782941,"Walleye","Walleye","2009-08-18",2009,"2009-08-17","2009-08-18",325,325,300,300,2,2,0.18,"Scales (left side)",4,7,"17-6992-49270",1000,29093,"1","Yes",232307,44.47083333,78.49472222,"South","2009"
"80",80,44297823,442904,782345,"Walleye","Walleye","2008-07-02",2008,"2008-07-02","2008-07-03",361,361,390,390,2,2,0.11,"Dorsal Spine",4,7,"17-7074-49293",1028,28877,"1","Yes",116147,44.48444444,78.39583333,"South","2008"
"81",81,44297823,442904,782345,"Walleye","Walleye","2008-07-02",2008,"2008-07-02","2008-07-03",448,448,800,800,1,1,0.19,"Otolith",6,9,"17-7074-49293",1030,28875,"1","Yes",116106,44.48444444,78.39583333,"South","2008"
"82",82,44297823,442904,782345,"Walleye","Walleye","2008-07-02",2008,"2008-07-02","2008-07-03",552,552,1700,1700,1,1,0.52,"Otolith",11,9,"17-7074-49293",1035,28873,"1","Yes",115747,44.48444444,78.39583333,"South","2008"
"83",83,44297823,442904,782345,"Walleye","Walleye","2008-07-02",2008,"2008-07-02","2008-07-03",340,340,310,310,1,1,0.11,"Dorsal Spine",3,8,"17-7074-49293",1039,28876,"1","Yes",116148,44.48444444,78.39583333,"South","2008"
"84",84,44297823,442904,782345,"Walleye","Walleye","2008-07-02",2008,"2008-07-02","2008-07-03",409,409,700,700,2,2,0.09,"Dorsal Spine",3,8,"17-7074-49293",1043,28874,"1","Yes",116107,44.48444444,78.39583333,"South","2008"
"85",85,44307727,442914,772713,"Smallmouth Bass","Smallmouth Bass","2010-06-23",2010,"2010-06-23","2010-06-24",384,384,778,778,2,2,0.74,"Dorsal Spine",9,6,"18-3050-49285",1096,30626,"1","Yes",300643,44.48722222,77.45361111,"South","2010"
"86",86,44307727,442914,772713,"Smallmouth Bass","Smallmouth Bass","2010-06-23",2010,"2010-06-23","2010-06-24",332,332,472,472,2,2,0.86,"Dorsal Spine",7,6,"18-3050-49285",1097,30628,"1","Yes",300641,44.48722222,77.45361111,"South","2010"
"87",87,44307727,442914,772713,"Walleye","Walleye","2010-06-23",2010,"2010-06-23","2010-06-24",430,430,932,932,2,2,0.42,"Otolith",5,8,"18-3050-49285",1101,30642,"1X","Yes",300735,44.48722222,77.45361111,"South","2010"
"88",88,44307727,442914,772713,"Walleye","Walleye","2010-06-23",2010,"2010-06-23","2010-06-24",371,371,472,472,1,1,0.65,"Otolith",5,8,"18-3050-49285",1102,30638,"1X","Yes",300655,44.48722222,77.45361111,"South","2010"
"89",89,44307727,442914,772713,"Walleye","Walleye","2010-06-23",2010,"2010-06-23","2010-06-24",472,472,980,980,1,1,0.76,"Otolith",7,9,"18-3050-49285",1105,30622,"1","Yes",300494,44.48722222,77.45361111,"South","2010"
"90",90,44307727,442914,772713,"Walleye","Walleye","2010-06-23",2010,"2010-06-23","2010-06-24",465,465,1032,1032,2,2,0.8,"Otolith",7,8,"18-3050-49285",1106,30645,"1X","Yes",299744,44.48722222,77.45361111,"South","2010"
"91",91,44307727,442914,772713,"Walleye","Walleye","2010-06-23",2010,"2010-06-23","2010-06-24",445,445,892,892,2,2,0.57,"Otolith",5,8,"18-3050-49285",1107,30643,"1X","Yes",299746,44.48722222,77.45361111,"South","2010"
"92",92,44307727,442914,772713,"Walleye","Walleye","2010-06-23",2010,"2010-06-23","2010-06-24",357,357,416,416,1,1,0.67,"Otolith",5,9,"18-3050-49285",1108,30637,"1X","Yes",300653,44.48722222,77.45361111,"South","2010"
"93",93,44307727,442914,772713,"Walleye","Walleye","2010-06-23",2010,"2010-06-23","2010-06-24",353,353,430,430,1,1,0.67,"Otolith",5,9,"18-3050-49285",1109,30636,"1X","Yes",300652,44.48722222,77.45361111,"South","2010"
"94",94,44307727,442914,772713,"Walleye","Walleye","2010-06-23",2010,"2010-06-23","2010-06-24",333,333,302,302,1,1,0.41,"Otolith",3,9,"18-3050-49285",1110,30641,"1X","Yes",300649,44.48722222,77.45361111,"South","2010"
"95",95,44307727,442914,772713,"Walleye","Walleye","2010-06-23",2010,"2010-06-23","2010-06-24",322,322,324,324,1,1,0.4,"Otolith",3,9,"18-3050-49285",1111,30633,"1X","Yes",300648,44.48722222,77.45361111,"South","2010"
"96",96,44307727,442914,772713,"Walleye","Walleye","2010-06-23",2010,"2010-06-23","2010-06-24",317,317,310,310,2,2,0.41,"Otolith",3,9,"18-3050-49285",1112,30634,"1X","Yes",300650,44.48722222,77.45361111,"South","2010"
"97",97,44307727,442914,772713,"Walleye","Walleye","2010-06-23",2010,"2010-06-23","2010-06-24",313,313,278,278,2,2,0.38,"Otolith",3,9,"18-3050-49285",1113,30640,"1X","Yes",300654,44.48722222,77.45361111,"South","2010"
"98",98,44307727,442914,772713,"Walleye","Walleye","2010-06-23",2010,"2010-06-23","2010-06-24",307,307,252,252,1,1,0.49,"Otolith",3,9,"18-3050-49285",1114,30631,"1X","Yes",300644,44.48722222,77.45361111,"South","2010"
"99",99,44307727,442914,772713,"Walleye","Walleye","2010-06-23",2010,"2010-06-23","2010-06-24",293,293,230,230,2,2,0.32,"Otolith",2,8,"18-3050-49285",1115,30623,"1","Yes",299741,44.48722222,77.45361111,"South","2010"
