WATERBODY_CODE,LATITUDE,LONGITUDE,SPECIES_NAME,name,SAMPLE_DATE,Netting_Start_Date,Netting_End_Date,Len2mm,Total_Length,WEIGHT,Round_Weight,SexID,Sex_ID,VALUE,Aging_Structure,Assessed_Fish_Age,Assessed_Age_Confidence,Waterbody_LID,ON_Hg_BSM_years_ID,qryContaminant_link_fish_age_date_tissue_ID,Tissues_Sampled,Contaminant_Samples_Taken,FN3_individual_fish_id
44058125,440507,812509,Walleye,Walleye,2012-08-14,2012-08-14,2012-08-15,465,465,858,858,2,2,0.74,,,,17-4665-48812,440,29251,1X,Yes,466562
44058125,440507,812509,Walleye,Walleye,2012-08-14,2012-08-14,2012-08-15,464,464,782,782,2,2,0.37,,,,17-4665-48812,441,29240,1X,Yes,466532
44058125,440507,812509,Walleye,Walleye,2012-08-14,2012-08-14,2012-08-15,463,463,818,818,1,1,0.43,,,,17-4665-48812,442,29241,1X,Yes,466533
44058125,440507,812509,Walleye,Walleye,2012-08-14,2012-08-14,2012-08-15,456,456,854,854,1,1,0.48,,,,17-4665-48812,443,29239,1X,Yes,466531
44058125,440507,812509,Walleye,Walleye,2012-08-14,2012-08-14,2012-08-15,371,371,420,420,1,1,0.39,,,,17-4665-48812,444,29248,1X,Yes,466500
44058125,440507,812509,Northern Pike,Northern Pike,2012-08-14,2012-08-14,2012-08-15,571,571,928,928,2,2,0.62,,,,17-4665-48812,445,29247,1X,Yes,466560
44107850,441100,785126,Walleye,Walleye,2008-07-28,2008-07-28,2008-07-29,389,389,425,425,1,1,0.12,Dorsal Spine,4,7,17-6715-48930,482,28971,1X,Yes,126494
44107850,441100,785126,Walleye,Walleye,2008-07-28,2008-07-27,2008-07-28,377,377,440,440,2,2,0.11,Dorsal Spine,4,8,17-6715-48930,485,28978,1X,Yes,126585
44247824,442319,782334,Walleye,Walleye,2009-06-23,2009-06-22,2009-06-23,340,340,275,275,1,1,0.3,Dorsal Spine,5,6,17-7076-49181,808,29043,1,Yes,206037
44247824,442319,782334,Walleye,Walleye,2009-06-23,2009-06-22,2009-06-23,444,444,850,850,2,2,0.3,Otolith,5,8,17-7076-49181,809,29045,1,Yes,206128
44247824,442319,782334,Walleye,Walleye,2009-06-23,2009-06-22,2009-06-23,323,323,325,325,1,1,0.11,Dorsal Spine,3,8,17-7076-49181,810,29044,1,Yes,206129
44247824,442319,782334,Walleye,Walleye,2009-06-24,2009-06-24,2009-06-25,373,373,425,425,2,2,0.19,Dorsal Spine,4,8,17-7076-49181,813,29049,1,Yes,206860
44247824,442319,782334,Walleye,Smallmouth Bass,2009-06-24,2009-06-24,2009-06-25,467,467,1400,1400,2,2,0.51,Dorsal Spine,9,8,17-7076-49181,816,29050,1,Yes,206861
